;correct_spelling;misspellings
454;bedre;['edre'                , 'bdre'        , 'bere'        , 'bede'        , 'bedr']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
455;sand;['sadn'                 , 'snad'        , 'snda'        , 'sdan'        , 'sdna'        , 'asnd'        , 'asdn'        , 'ansd'        , 'ands'        , 'adsn'        , 'adns'        , 'nsad'        , 'nsda'         , 'nasd'   , 'nads' , 'ndsa', 'ndas', 'dsan', 'dsna', 'dasn' , 'dnsa', 'dnas'], 
456;i løbet af;[' løbet af'      , 'iløbet af'   , 'i øbet af'   , 'i lbet af'   , 'i løet af'   , 'i løbt af'   , 'i løbe af'   , 'i løbetaf'   , 'i løbet f'   , 'i løbet a']  ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
457;hundrede;['undrede'          , 'hndrede'     , 'hudrede'     , 'hunrede'     , 'hundede'     , 'hundrde'     , 'hundree']    ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
458;fem;['fme'                   , 'efm'         , 'emf'         , 'mfe'         , 'mef']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
459;huske;['uske'                , 'hske'        , 'huke'        , 'huse'        , 'husk']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
460;trin;['trni'                 , 'tirn'        , 'tinr'        , 'tnri'        , 'tnir'        , 'rtin'        , 'rtni'        , 'ritn'        , 'rint'        , 'rnti'        , 'rnit'        , 'itrn'        , 'itnr'         , 'irtn'   , 'irnt' , 'intr', 'inrt', 'ntri', 'ntir', 'nrti' , 'nrit', 'nitr' , 'nirt']
461;tidligt;['idligt'            , 'tdligt'      , 'tiligt'      , 'tidigt'      , 'tidlgt'      , 'tidlit'      , 'tidlig']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
462;holde;['olde'                , 'hlde'        , 'hode']       ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
463;vest;['vets'                 , 'vset'        , 'vste'        , 'vtes'        , 'vtse'        , 'evst'        , 'evts'        , 'esvt'        , 'estv'        , 'etvs'        , 'etsv'        , 'svet'        , 'svte'         , 'sevt'   , 'setv' , 'stve', 'stev', 'tves', 'tvse', 'tevs' , 'tesv', 'tsve' , 'tsev']
464;jorden;['orden'              , 'jrden'       , 'joden'       , 'joren'       , 'jordn'       , 'jorde']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
465;interesse;['nteresse'        , 'iteresse'    , 'ineresse'    , 'intresse'    , 'inteesse'    , 'intersse'    , 'interese'    , 'interese'    , 'interess']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
466;nå;['ån']                    ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
467;hurtigt;['urtigt'            , 'hrtigt'      , 'hutigt'      , 'hurigt'      , 'hurtgt'      , 'hurtit']     ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
468;verbum;['erbum'              , 'vrbum'       , 'vebum'       , 'verum'       , 'verbm'       , 'verbu']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
469;synge;['ynge'                , 'snge'        , 'syge'        , 'syne'        , 'syng']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
470;lytte;['ytte'                , 'ltte'        , 'lyte'        , 'lyte'        , 'lytt']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
471;seks;['sesk'                 , 'skes'        , 'skse'        , 'ssek'        , 'sske'        , 'esks'        , 'essk'        , 'ekss'        , 'ekss'        , 'essk'        , 'esks'        , 'kses'        , 'ksse'         , 'kess'   , 'kess' , 'ksse', 'kses', 'ssek', 'sske', 'sesk' , 'skse', 'skes'], 
472;tabel;['abel'                , 'tbel'        , 'tael'        , 'tabl'        , 'tabe']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
473;rejser;['ejser'              , 'rjser'       , 'reser'       , 'rejer'       , 'rejsr'       , 'rejse']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
474;mindre;['indre'              , 'mndre'       , 'midre'       , 'minre'       , 'minde'       , 'mindr']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
475;formiddag;['ormiddag'        , 'frmiddag'    , 'fomiddag'    , 'foriddag'    , 'formddag'    , 'formidag'    , 'formidag'    , 'formiddg'    , 'formidda']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
476;ti;[]                        ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
477;simpelt;['impelt'            , 'smpelt'      , 'sipelt'      , 'simelt'      , 'simplt'      , 'simpet'      , 'simpel']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
478;flere;['lere'                , 'fere'        , 'flre'        , 'flee'        , 'fler']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
479;vokal;['okal'                , 'vkal'        , 'voal'        , 'vokl'        , 'voka']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
480;mod;['mdo'                   , 'omd'         , 'odm'         , 'dmo'         , 'dom']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
481;krig;['krgi'                 , 'kirg'        , 'kigr'        , 'kgri'        , 'kgir'        , 'rkig'        , 'rkgi'        , 'rikg'        , 'rigk'        , 'rgki'        , 'rgik'        , 'ikrg'        , 'ikgr'         , 'irkg'   , 'irgk' , 'igkr', 'igrk', 'gkri', 'gkir', 'grki' , 'grik', 'gikr' , 'girk']
482;lægge;['ægge'                , 'lgge'        , 'lægg']       ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
483;mod;['mdo'                   , 'omd'         , 'odm'         , 'dmo'         , 'dom']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
484;mønster;['ønster'            , 'mnster'      , 'møster'      , 'mønter'      , 'mønser'      , 'mønstr'      , 'mønste']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
485;langsom;['angsom'            , 'lngsom'      , 'lagsom'      , 'lansom'      , 'langom'      , 'langsm'      , 'langso']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
486;centrum;['entrum'            , 'cntrum'      , 'cetrum'      , 'cenrum'      , 'centum'      , 'centrm'      , 'centru']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
487;elsker;['lsker'              , 'esker'       , 'elker'       , 'elser'       , 'elskr'       , 'elske']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
488;person                       , ;['erson      , '             , 'prson        , '             , 'peson        , '             , 'peron        , '             , 'persn        , '             , 'perso        , '              , 'person ', 'person, ']    ,       ,       ,       ,        ,       ,        , 
489;penge;['enge'                , 'pnge'        , 'pege'        , 'pene'        , 'peng']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
490;tjene;['jene'                , 'tene'        , 'tjne'        , 'tjee'        , 'tjen']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
491;synes;['ynes'                , 'snes'        , 'syes'        , 'syns'        , 'syne']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
492;vej;['vje'                   , 'evj'         , 'ejv'         , 'jve'         , 'jev']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
493;kort;['kotr'                 , 'krot'        , 'krto'        , 'ktor'        , 'ktro'        , 'okrt'        , 'oktr'        , 'orkt'        , 'ortk'        , 'otkr'        , 'otrk'        , 'rkot'        , 'rkto'         , 'rokt'   , 'rotk' , 'rtko', 'rtok', 'tkor', 'tkro', 'tokr' , 'tork', 'trko' , 'trok']
494;regn;['reng'                 , 'rgen'        , 'rgne'        , 'rneg'        , 'rnge'        , 'ergn'        , 'erng'        , 'egrn'        , 'egnr'        , 'enrg'        , 'engr'        , 'grne'        , 'gern'         , 'genr'   , 'gnre' , 'gner', 'nreg', 'nrge', 'nerg', 'negr' , 'ngre', 'nger'], 
495;regel;['egel'                , 'rgel'        , 'reel'        , 'regl'        , 'rege']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
496;regere;['egere'              , 'rgere'       , 'reere'       , 'regre'       , 'regee'       , 'reger']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
497;træk;['trkæ'                 , 'tærk'        , 'tækr'        , 'tkræ'        , 'tkær'        , 'rtæk'        , 'rtkæ'        , 'rætk'        , 'rækt'        , 'rktæ'        , 'rkæt'        , 'ætrk'        , 'ætkr'         , 'ærtk'   , 'ærkt' , 'æktr', 'ækrt', 'ktræ', 'ktær', 'krtæ' , 'kræt', 'kætr' , 'kært']
498;kold;['kodl'                 , 'klod'        , 'kldo'        , 'kdol'        , 'kdlo'        , 'okld'        , 'okdl'        , 'olkd'        , 'oldk'        , 'odkl'        , 'odlk'        , 'lkod'        , 'lkdo'         , 'lokd'   , 'lodk' , 'ldko', 'ldok', 'dkol', 'dklo', 'dokl' , 'dolk', 'dlko' , 'dlok']
499;varsel;['arsel'              , 'vrsel'       , 'vasel'       , 'varel'       , 'varsl'       , 'varse']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
500;stemme;['temme'              , 'semme'       , 'stmme'       , 'steme'       , 'steme'       , 'stemm']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
501;energi;['nergi'              , 'eergi'       , 'enrgi'       , 'enegi'       , 'eneri'       , 'energ']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
502;jagt;['jatg'                 , 'jgat'        , 'jgta'        , 'jtag'        , 'jtga'        , 'ajgt'        , 'ajtg'        , 'agjt'        , 'agtj'        , 'atjg'        , 'atgj'        , 'gjat'        , 'gjta'         , 'gajt'   , 'gatj' , 'gtja', 'gtaj', 'tjag', 'tjga', 'tajg' , 'tagj', 'tgja' , 'tgaj']
503;sandsynlig;['andsynlig'      , 'sndsynlig'   , 'sadsynlig'   , 'sansynlig'   , 'sandynlig'   , 'sandsnlig'   , 'sandsylig'   , 'sandsynig'   , 'sandsynlg'   , 'sandsynli']  ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
504;seng;['segn'                 , 'sneg'        , 'snge'        , 'sgen'        , 'sgne'        , 'esng'        , 'esgn'        , 'ensg'        , 'engs'        , 'egsn'        , 'egns'        , 'nseg'        , 'nsge'         , 'nesg'   , 'negs' , 'ngse', 'nges', 'gsen', 'gsne', 'gesn' , 'gens', 'gnse' , 'gnes']
505;bror;['brro'                 , 'borr'        , 'borr'        , 'brro'        , 'rbor'        , 'rbro'        , 'robr'        , 'rorb'        , 'rrbo'        , 'rrob'        , 'obrr'        , 'obrr'        , 'orbr'         , 'orrb'   , 'orbr' , 'orrb', 'rbro', 'rbor', 'rrbo', 'rrob' , 'robr', 'rorb'], 
506;æg;['gæ']                    ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
507;tur;['tru'                   , 'utr'         , 'urt'         , 'rtu'         , 'rut']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
508;celle;['elle'                , 'clle'        , 'cele'        , 'cele']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
509;tro;['tor'                   , 'rto'         , 'rot'         , 'otr'         , 'ort']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
510;måske;['åske'                , 'mske'        , 'måke'        , 'måse'        , 'måsk']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
511;pick;['pikc'                 , 'pcik'        , 'pcki'        , 'pkic'        , 'pkci'        , 'ipck'        , 'ipkc'        , 'icpk'        , 'ickp'        , 'ikpc'        , 'ikcp'        , 'cpik'        , 'cpki'         , 'cipk'   , 'cikp' , 'ckpi', 'ckip', 'kpic', 'kpci', 'kipc' , 'kicp', 'kcpi' , 'kcip']
512;pludselige;['ludselige'      , 'pudselige'   , 'pldselige'   , 'pluselige'   , 'pludelige'   , 'pludslige'   , 'pludseige'   , 'pludselge'   , 'pludselie'   , 'pludselig']  ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
513;tælle;['ælle'                , 'tlle'        , 'tæle'        , 'tæle'        , 'tæll']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
514;firkantet;['irkantet'        , 'frkantet'    , 'fikantet'    , 'firantet'    , 'firkntet'    , 'firkatet'    , 'firkanet'    , 'firkantt'    , 'firkante']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
515;årsag;['rsag'                , 'åsag'        , 'årag'        , 'årsg'        , 'årsa']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
516;længde;['ængde'              , 'lngde'       , 'lægde'       , 'lænde'       , 'længe'       , 'længd']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
517;repræsentere;['epræsentere'  , 'rpræsentere' , 'reræsentere' , 'repæsentere' , 'reprsentere' , 'repræentere' , 'repræsntere' , 'repræsetere' , 'repræsenere' , 'repræsentre' , 'repræsentee' , 'repræsenter'],                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
518;kunst;['unst'                , 'knst'        , 'kust'        , 'kunt'        , 'kuns']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
519;emne;['emen'                 , 'enme'        , 'enem'        , 'eemn'        , 'eenm'        , 'mene'        , 'meen'        , 'mnee'        , 'mnee'        , 'meen'        , 'mene'        , 'neme'        , 'neem'         , 'nmee'   , 'nmee' , 'neem', 'neme', 'eemn', 'eenm', 'emen' , 'enem', 'enme'], 
520;regionen;['egionen'          , 'rgionen'     , 'reionen'     , 'regonen'     , 'reginen'     , 'regioen'     , 'regionn'     , 'regione']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
521;størrelse;['tørrelse'        , 'sørrelse'    , 'strrelse'    , 'størelse'    , 'størelse'    , 'størrlse'    , 'størrese'    , 'størrele'    , 'størrels']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
522;variere;['ariere'            , 'vriere'      , 'vaiere'      , 'varere'      , 'varire'      , 'variee'      , 'varier']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
523;bosætte;['osætte'            , 'bsætte'      , 'boætte'      , 'bostte'      , 'bosæte'      , 'bosæte'      , 'bosætt']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
524;tale;['tael'                 , 'tlae'        , 'tlea'        , 'teal'        , 'tela'        , 'atle'        , 'atel'        , 'alte'        , 'alet'        , 'aetl'        , 'aelt'        , 'ltae'        , 'ltea'         , 'laet'   , 'leta' , 'leat', 'etal', 'etla', 'eatl', 'ealt' , 'elta', 'elat'], 
525;vægt;['vætg'                 , 'vgæt'        , 'vgtæ'        , 'vtæg'        , 'vtgæ'        , 'ævgt'        , 'ævtg'        , 'ægvt'        , 'ægtv'        , 'ætvg'        , 'ætgv'        , 'gvæt'        , 'gvtæ'         , 'gævt'   , 'gætv' , 'gtvæ', 'gtæv', 'tvæg', 'tvgæ', 'tævg' , 'tægv', 'tgvæ' , 'tgæv']
526;generelt;['enerelt'          , 'gnerelt'     , 'geerelt'     , 'genrelt'     , 'geneelt'     , 'generlt'     , 'generet'     , 'generel']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
527;is;['si']                    ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
528;stof;['stfo'                 , 'sotf'        , 'sfto'        , 'sfot'        , 'tsof'        , 'tsfo'        , 'tosf'        , 'tofs'        , 'tfso'        , 'tfos'        , 'ostf'        , 'osft'        , 'otsf'         , 'otfs'   , 'ofst' , 'ofts', 'fsto', 'fsot', 'ftso', 'ftos' , 'fost', 'fots'], 
529;cirkel;['irkel'              , 'crkel'       , 'cikel'       , 'cirel'       , 'cirkl'       , 'cirke']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
530;pair;['pari'                 , 'piar'        , 'pira'        , 'prai'        , 'pria'        , 'apir'        , 'apri'        , 'aipr'        , 'airp'        , 'arpi'        , 'arip'        , 'ipar'        , 'ipra'         , 'iapr'   , 'iarp' , 'irpa', 'irap', 'rpai', 'rpia', 'rapi' , 'raip', 'ripa' , 'riap']
531;omfatter;['mfatter'          , 'ofatter'     , 'omatter'     , 'omftter'     , 'omfater'     , 'omfater'     , 'omfattr'     , 'omfatte']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
532;kløft;['løft'                , 'køft'        , 'klft'        , 'kløt'        , 'kløf']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
533;stavelse;['tavelse'          , 'savelse'     , 'stvelse'     , 'staelse'     , 'stavlse'     , 'stavese'     , 'stavele'     , 'stavels']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
534;filt;['fitl'                 , 'flit'        , 'flti'        , 'ftil'        , 'ftli'        , 'iflt'        , 'iftl'        , 'ilft'        , 'iltf'        , 'itfl'        , 'itlf'        , 'lfit'        , 'lfti'         , 'litf'   , 'ltfi' , 'ltif', 'tfil', 'tfli', 'tifl', 'tilf' , 'tlfi', 'tlif'], 
535;store;['tore'                , 'sore'        , 'stre'        , 'stoe']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
536;kugle;['ugle'                , 'kgle'        , 'kule'        , 'kuge'        , 'kugl']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
537;endnu;['ndnu'                , 'ednu'        , 'ennu'        , 'endu'        , 'endn']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
538;bølge;['ølge'                , 'blge'        , 'bøge'        , 'bøle'        , 'bølg']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
539;drop;['drpo'                 , 'dorp'        , 'dopr'        , 'dpro'        , 'dpor'        , 'rdop'        , 'rdpo'        , 'rodp'        , 'ropd'        , 'rpdo'        , 'rpod'        , 'odrp'        , 'odpr'         , 'ordp'   , 'orpd' , 'opdr', 'oprd', 'pdro', 'pdor', 'prdo' , 'prod', 'podr' , 'pord']
540;hjerte;['jerte'              , 'herte'       , 'hjrte'       , 'hjete'       , 'hjere'       , 'hjert']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
541;am;['ma']                    ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
542;til stede;['il stede'        , 'tl stede'    , 'ti stede'    , 'tilstede'    , 'til tede'    , 'til sede'    , 'til stde'    , 'til stee'    , 'til sted']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
543;tung;['tugn'                 , 'tnug'        , 'tngu'        , 'tgun'        , 'tgnu'        , 'utng'        , 'utgn'        , 'untg'        , 'ungt'        , 'ugtn'        , 'ugnt'        , 'ntug'        , 'ntgu'         , 'nutg'   , 'nugt' , 'ngtu', 'ngut', 'gtun', 'gtnu', 'gutn' , 'gunt', 'gntu' , 'gnut']
544;dans;['dasn'                 , 'dnas'        , 'dnsa'        , 'dsan'        , 'dsna'        , 'adns'        , 'adsn'        , 'ands'        , 'ansd'        , 'asdn'        , 'asnd'        , 'ndas'        , 'ndsa'         , 'nads'   , 'nasd' , 'nsda', 'nsad', 'sdan', 'sdna', 'sadn' , 'snda', 'snad'], 
545;motor;['otor'                , 'mtor'        , 'moor'        , 'motr'        , 'moto']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
546;stilling;['tilling'          , 'silling'     , 'stlling'     , 'stiling'     , 'stiling'     , 'stillng'     , 'stillig'     , 'stillin']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
547;armen;['rmen'                , 'amen'        , 'aren'        , 'armn'        , 'arme']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
548;bred;['brde'                 , 'berd'        , 'bedr'        , 'bdre'        , 'bder'        , 'rbed'        , 'rbde'        , 'rebd'        , 'redb'        , 'rdbe'        , 'rdeb'        , 'ebrd'        , 'ebdr'         , 'erbd'   , 'erdb' , 'edbr', 'edrb', 'dbre', 'dber', 'drbe' , 'dreb', 'debr' , 'derb']
549;sejl;['selj'                 , 'sjel'        , 'sjle'        , 'slej'        , 'slje'        , 'esjl'        , 'eslj'        , 'ejsl'        , 'ejls'        , 'elsj'        , 'eljs'        , 'jsel'        , 'jsle'         , 'jesl'   , 'jels' , 'jlse', 'jles', 'lsej', 'lsje', 'lesj' , 'lejs', 'ljse' , 'ljes']
550;materiale;['ateriale'        , 'mteriale'    , 'maeriale'    , 'matriale'    , 'mateiale'    , 'materale'    , 'materile'    , 'materiae']   ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
551;fraktion;['raktion'          , 'faktion'     , 'frktion'     , 'fration'     , 'frakion'     , 'frakton'     , 'fraktin'     , 'fraktio']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
552;skov;['skvo'                 , 'sokv'        , 'sovk'        , 'svko'        , 'svok'        , 'ksov'        , 'ksvo'        , 'kosv'        , 'kovs'        , 'kvso'        , 'kvos'        , 'oskv'        , 'osvk'         , 'oksv'   , 'okvs' , 'ovsk', 'ovks', 'vsko', 'vsok', 'vkso' , 'vkos', 'vosk' , 'voks']
553;sidde;['idde'                , 'sdde'        , 'sidd']       ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
554;løb;['lbø'                   , 'ølb'         , 'øbl'         , 'blø'         , 'bøl']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
555;vindue;['indue'              , 'vndue'       , 'vidue'       , 'vinue'       , 'vinde'       , 'vindu']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
556;butik;['utik'                , 'btik'        , 'buik'        , 'butk'        , 'buti']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
557;sommer;['ommer'              , 'smmer'       , 'somer'       , 'somer'       , 'sommr'       , 'somme']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
558;tog;['tgo'                   , 'otg'         , 'ogt'         , 'gto']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
559;søvn;['sønv'                 , 'svøn'        , 'svnø'        , 'snøv'        , 'snvø'        , 'øsvn'        , 'øsnv'        , 'øvsn'        , 'øvns'        , 'ønsv'        , 'ønvs'        , 'vsøn'        , 'vsnø'         , 'vøsn'   , 'vøns' , 'vnsø', 'vnøs', 'nsøv', 'nsvø', 'nøsv' , 'nøvs', 'nvsø' , 'nvøs']
560;bevise;['evise'              , 'bvise'       , 'beise'       , 'bevse'       , 'bevie'       , 'bevis']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
561;enlig;['nlig'                , 'elig'        , 'enig'        , 'enlg'        , 'enli']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
562;ben;['bne'                   , 'ebn'         , 'enb'         , 'nbe'         , 'neb']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
563;motion;['otion'              , 'mtion'       , 'moion'       , 'moton'       , 'motin'       , 'motio']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
564;væg;['vgæ'                   , 'ævg'         , 'ægv'         , 'gvæ'         , 'gæv']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
565;fangst;['angst'              , 'fngst'       , 'fagst'       , 'fanst'       , 'fangt'       , 'fangs']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
566;monteringstid;['onteringstid', 'mnteringstid', 'moteringstid', 'moneringstid', 'montringstid', 'monteingstid', 'monterngstid', 'monterigstid', 'monterinstid', 'monteringtid', 'monteringsid', 'monteringstd', 'monteringsti'],          ,        ,       ,       ,       ,       ,        ,       ,        , 
567;ønske;['nske'                , 'øske'        , 'ønke'        , 'ønse'        , 'ønsk']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
568;himmel;['immel'              , 'hmmel'       , 'himel'       , 'himel'       , 'himml'       , 'himme']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
569;bord;['bodr'                 , 'brod'        , 'brdo'        , 'bdor'        , 'bdro'        , 'obrd'        , 'obdr'        , 'orbd'        , 'ordb'        , 'odbr'        , 'odrb'        , 'rbod'        , 'rbdo'         , 'robd'   , 'rodb' , 'rdbo', 'rdob', 'dbor', 'dbro', 'dobr' , 'dorb', 'drbo' , 'drob']
570;glæde;['læde'                , 'gæde'        , 'glde'        , 'glæe'        , 'glæd']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
571;vinter;['inter'              , 'vnter'       , 'viter'       , 'viner'       , 'vintr'       , 'vinte']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
